Relative Time [s],Absolute Time [s],Thermocouple 1 Temp [C],Thermocouple 2 Temp [C],Thermocouple 3 Temp [C],Thermocouple 4 Temp [C],Thermocouple 5 Temp [C],Thermocouple 6 Temp [C],Thermocouple 7 Temp [C],Thermocouple 8 Temp [C],Thermocouple 9 Temp [C]
3.997762203,1720454906,21.40303692,21.51873069,21.48957696,21.35305361,21.47985888,21.49744391,21.30191104,21.48332963,21.31533329
4.230151653,1720454907,21.58638682,21.82720959,21.61692623,21.50054821,21.70576352,21.64977832,21.52785067,21.68378619,21.52090943
4.38609767,1720454907,21.49774489,21.6987966,21.66872206,21.5167179,21.67034148,21.70805014,21.46766508,21.57294097,21.53106314
4.528792381,1720454907,21.60066908,21.67030613,21.73970762,21.57521926,21.70223134,21.63143946,21.58863833,21.70176866,21.61593869
4.675565481,1720454907,21.39048143,21.68594342,21.64753998,21.42426559,21.68825683,21.61491917,21.38006831,21.52329834,21.45619764
4.818260431,1720454907,21.41808431,21.76466343,21.72765063,21.51734898,21.73435929,21.64714367,21.44978515,21.60202953,21.44955376
4.965033293,1720454907,21.49812308,21.567535,21.62167338,21.49025613,21.60686655,21.68043607,21.25861981,21.58905184,21.46781189
5.110786438,1720454908,21.63057744,21.72565971,21.73491304,21.54751858,21.65926489,21.61438259,21.55515377,21.69558588,21.52229897
5.256148815,1720454908,21.39386395,21.72888377,21.66156375,21.54264519,21.71801105,21.76057602,21.49289933,21.71592902,21.61876374
5.400884151,1720454908,21.51236387,21.72289778,21.68704034,21.49593598,21.65187583,21.69097315,21.39204144,21.56557939,21.44734505
5.545616388,1720454908,21.66143267,21.92768216,21.85736687,21.56079226,21.87055132,21.84441358,21.67276862,21.84834585,21.64616366
5.690350771,1720454908,21.42762094,21.57200187,21.62405785,21.45538791,21.66801439,21.6386331,21.39568809,21.56228449,21.44983457
5.851392031,1720454908,21.47936642,21.62929335,21.61564341,21.37986708,21.60176194,21.59620931,21.4543767,21.52286576,21.44488972
5.997147083,1720454908,21.46425452,21.6704017,21.52950376,21.52626452,21.65281933,21.61210121,21.44759454,21.57994212,21.48693021
6.153090239,1720454909,21.41734443,21.78867543,21.68341936,21.54044068,21.74148489,21.72159026,21.52678968,21.66838199,21.60198385
6.297378778,1720454909,21.5078019,21.66697899,21.65448624,21.57258594,21.72504536,21.63921714,21.49484466,21.67229993,21.52955124
6.441638947,1720454909,21.52765625,21.70880786,21.60215629,21.52349151,21.62043351,21.59660366,21.50984031,21.66253942,21.53644843
6.586373091,1720454909,21.42920063,21.53077807,21.59879986,21.51597007,21.59648626,21.6244805,21.39865623,21.65016057,21.50602084
6.733145237,1720454909,21.53515447,21.72578963,21.7611832,21.55967971,21.76789166,21.67743979,21.45463399,21.7276403,21.60803452
6.877879858,1720454909,21.51638211,21.7077144,21.63553475,21.540445,21.68041622,21.67208784,21.46871759,21.63900503,21.50342496
7.024651766,1720454909,21.54851674,21.67067354,21.52838738,21.44508974,21.6864049,21.55314413,21.45018033,21.6195451,21.54944222
7.169939995,1720454910,21.54080958,21.67129565,21.56579743,21.53942135,21.6097562,21.64584741,21.49754231,21.55446042,21.50031887
7.316712379,1720454910,21.49795985,21.61341271,21.54932508,21.37046236,21.60716606,21.57824593,21.46278954,21.59721762,21.37717311
7.462465525,1720454910,21.48238211,21.68158576,21.62606209,21.53027743,21.61380025,21.64202542,21.45646689,21.56452021,21.44813688
7.609237909,1720454910,21.56945094,21.75337188,21.72214211,21.51600423,21.64371692,21.65921731,21.48083447,21.71774674,21.54909058
7.750914335,1720454910,21.56532291,21.76243021,21.60303503,21.46351714,21.6819257,21.57249525,21.6178419,21.65069397,21.39641294
7.891570568,1720454910,21.48885712,21.5878843,21.62721516,21.53073648,21.59042928,21.50806165,21.48006457,21.53582668,21.50852441
8.03120923,1720454910,21.50017432,21.70053158,21.72713528,21.43376645,21.58439342,21.59341652,21.43376645,21.57028021,21.51567665
8.171867132,1720454911,21.32138093,21.57498446,21.61848017,21.44842108,21.70176523,21.51413397,21.35933246,21.60297923,21.45420581
